Comment,Designator,Footprint,LCSC, LCSC Part#, Mfr, Part#, Mrf
"1uF","C1","Capacitor_SMD:C_0805_2012Metric","","C28323","Samsung Electro-Mechanics","CL21B105KBFNNNE",""
"0.1uF","C10,C11,C12,C13,C14,C17,C19,C2,C21,C23,C25,C27,C29,C33,C35,C37,C39,C4,C41,C43,C44,C47,C49,C51,C53,C55,C57,C59,C6,C61,C64,C65,C67,C69,C70,C8,C9","Capacitor_SMD:C_0805_2012Metric","","C49678","","CC0805KRX7R9BB104","YAGEO"
"10uF","C15","Capacitor_SMD:C_0805_2012Metric","","C15850","Samsung Electro-Mechanics","CL21A106KAYNNNE",""
"D","D_1,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_2,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_3,D_30,D_31,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_4,D_40,D_41,D_42,D_43,D_44,D_45,D_46,D_47,D_48,D_49,D_5,D_50,D_51,D_52,D_53,D_54,D_55,D_56,D_57,D_58,D_59,D_6,D_60,D_61,D_62,D_63,D_64,D_65,D_66,D_67,D_68,D_69,D_7,D_70,D_8,D_9","kbd:D_SOD-123_copy","","C81598","","1N4148W","Semtech"
"500mA","F1","Fuse:Fuse_1206_3216Metric",""
"USB2_C_Receptacle","J1","usb-type-c:Mid_Mount-USB_C_HandSoldering",""
"KEYSW","K_1,K_10,K_11,K_12,K_13,K_17,K_18,K_19,K_2,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_3,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_4,K_40,K_41,K_42,K_43,K_47,K_48,K_49,K_5,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_59,K_6,K_68,K_69,K_7,K_70,K_8,K_9","MX_Only:MXOnly-1U-NoLED",""
"KEYSW","K_14","MX_Only:MXOnly-2U-ReversedStabilizers-NoLED",""
"KEYSW","K_16,K_29","MX_Only:MXOnly-1.5U-NoLED",""
"KEYSW","K_31,K_60,K_61,K_62,K_65,K_66,K_67","MX_Only:MXOnly-1.25U-NoLED",""
"KEYSW","K_32,K_58","MX_Only:MXOnly-1.75U-NoLED",""
"KEYSW","K_44,K_46,K_64","MX_Only:MXOnly-2.25U-ReversedStabilizers-NoLED",""
"KEYSW","K_63","MX_Only:MXOnly-2.75U-ReversedStabilizers-NoLED",""
"YS-SK6812MINI-E","LED1,LED10,LED11,LED12,LED13,LED14,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED3,LED32,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED4,LED40,LED41,LED42,LED43,LED44,LED46,LED47,LED48,LED49,LED5,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED6,LED60,LED61,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED7,LED70,LED8,LED9","LED_kicad_footprints-master:YS-SK6812MINI-E",""
"10k","R1,R6","Resistor_SMD:R_0805_2012Metric","","C17414","","0805W8F1002T5E","Uniroyal Elec"
"5.1k","R2,R3","Resistor_SMD:R_0805_2012Metric","","C27834","Uniroyal Elec","0805W8F5101T5E",""
"22","R4,R5","Resistor_SMD:R_0805_2012Metric","","C17560","","0805W8F2202T5E","Uniroyal Elec"
"510 ohm","R7","Resistor_SMD:R_0805_2012Metric","","C17734","","0805W8F5100T5E","Uniroyal Elec"
"SW_Push","SW1","random-keyboard-parts:SKQG-1155865",""
"Rotary_Encoder_Switch","SW2,SW3,SW4","Keebio-Parts:RotaryEncoder_EC11",""
"ATmega32U4-AU","U1","Package_QFP:TQFP-44_10x10mm_P0.8mm","","C44854","Microchip Tech","ATMEGA32U4-AU",""
"SRV05-4","U2","Package_TO_SOT_SMD:SOT-23-6","","C127538","Yenji Elec","SRV05-4",""
"16MHz","Y1","proj_local:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering_Compact",""