Comment,Designator,Footprint,LCSC
"1uF","C1","Capacitor_SMD:C_0805_2012Metric",""
"10uF","C16","Capacitor_SMD:C_0805_2012Metric",""
"0.1uF","C2,C4,C6,C8,C9,C10,C11,C12,C13,C15,C18,C20,C22,C24,C26,C28,C30,C34,C36,C38,C40,C42,C44,C45,C48,C50,C52,C54,C56,C58,C60,C63,C66,C67,C69,C71,C72,C73,C74,C75,C76,C77,C78,C79","Capacitor_SMD:C_0805_2012Metric",""
"D","D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42,D_43,D_44,D_45,D_46,D_47,D_48,D_49,D_50,D_51,D_52,D_53,D_54,D_55,D_56,D_57,D_58,D_59,D_60,D_61,D_62,D_63,D_64,D_65,D_66,D_67,D_68,D_69,D_70,D_71,D_72","kbd:D3_SMD_v2",""
"500mA","F1","Fuse:Fuse_1206_3216Metric",""
"USB2_C_Receptacle","J1","usb-type-c:Mid_Mount-USB_C_HandSoldering",""
"ISP Header","J2","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"KEYSW","K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_16,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_29,K_30,K_31,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_46,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_60,K_61,K_70,K_71,K_72","MX_Only:MXOnly-1U-NoLED",""
"KEYSW","K_15","MX_Only:MXOnly-2U-ReversedStabilizers-NoLED",""
"KEYSW","K_17","MX_Only:MXOnly-1.5U-NoLED",""
"KEYSW","K_32,K_33,K_59","MX_Only:MXOnly-1.75U-NoLED",""
"KEYSW","K_45,K_47,K_66","MX_Only:MXOnly-2.25U-ReversedStabilizers-NoLED",""
"KEYSW","K_62,K_63,K_64,K_67,K_68,K_69","MX_Only:MXOnly-1.25U-NoLED",""
"KEYSW","K_65","MX_Only:MXOnly-2.75U-ReversedStabilizers-NoLED",""
"YS-SK6812MINI-E","LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13,LED15,LED17,LED18,LED19,LED20,LED21,LED22,LED23,LED24,LED25,LED26,LED27,LED28,LED29,LED30,LED33,LED34,LED35,LED36,LED37,LED38,LED39,LED40,LED41,LED42,LED43,LED44,LED45,LED47,LED48,LED49,LED50,LED51,LED52,LED53,LED54,LED55,LED56,LED57,LED58,LED59,LED60,LED62,LED63,LED64,LED65,LED66,LED67,LED68,LED69,LED70,LED71,LED72","LED_kicad_footprints-master:YS-SK6812MINI-E",""
"10k立","R1,R6","Resistor_SMD:R_0805_2012Metric",""
"5.1k立","R2,R3","Resistor_SMD:R_0805_2012Metric",""
"22立","R4,R5","Resistor_SMD:R_0805_2012Metric",""
"510立","R7","Resistor_SMD:R_0805_2012Metric",""
"RESET","SW1","random-keyboard-parts:SKQG-1155865",""
"Rotary_Encoder_Switch","SW2,SW3,SW4","Keebio-Parts:RotaryEncoder_EC11",""
"ATmega32U4-AU","U1","Keebio-Parts:ATMEGA32U4-AU",""
"SRV05-4","U2","Package_TO_SOT_SMD:SOT-23-6",""
"YS-SK6812MINI-E","ULED1,ULED2,ULED3,ULED4,ULED5,ULED6,ULED7,ULED8,ULED9,ULED10,ULED11,ULED12,ULED13,ULED14","LED_kicad_footprints-master:Underglow YS-SK6812MINI-E",""
"16MHz","Y1","proj_local:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering_Compact",""